,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta1,params_beta2,params_conv_layer0_activation,params_conv_layer0_dropout_p,params_conv_layer0_filters,params_conv_layer1_activation,params_conv_layer1_dropout_p,params_conv_layer1_filters,params_conv_layer2_activation,params_conv_layer2_dropout_p,params_conv_layer2_filters,params_conv_layer3_activation,params_conv_layer3_dropout_p,params_conv_layer3_filters,params_dense_layer0_activation,params_dense_layer0_batchnorm_used,params_dense_layer0_dropout_p,params_dense_layer0_n_neurons,params_dense_layer1_activation,params_dense_layer1_batchnorm_used,params_dense_layer1_dropout_p,params_dense_layer1_n_neurons,params_dense_layer2_activation,params_dense_layer2_batchnorm_used,params_dense_layer2_dropout_p,params_dense_layer2_n_neurons,params_lr,params_momentum,params_n_conv_layers,params_n_dense_layers,params_optimizer,params_weight_decay,state
0,0,1.008743378520012,2026-04-04 19:48:41.325914,2026-04-04 19:49:13.100473,0 days 00:00:31.774559,,0.7255293278331691,0.9017258167961284,relu,0.18426520736179325,256,leaky_relu,0.3911044245548752,256,,,,,,,relu,False,0.05903431369959872,32,leaky_relu,False,0.29741579013453673,16.0,,,,,0.00015883899201608534,,2,2,Adam,1.230023816275305e-05,COMPLETE
1,1,0.5438043192029,2026-04-04 19:49:13.114693,2026-04-04 19:49:23.488086,0 days 00:00:10.373393,0.8036978250417365,,,relu,0.03339702958488311,128,relu,0.21498751097711077,64,,,,,,,relu,True,0.28345852200995186,64,,,,,,,,,0.0006060116717441927,,2,1,RMSprop,0.0008433494220740971,COMPLETE
2,2,2.299562990665436,2026-04-04 19:49:23.504262,2026-04-04 19:49:42.851512,0 days 00:00:19.347250,,,,leaky_relu,0.2331046876863293,256,leaky_relu,0.10812816887984922,64,leaky_relu,0.256651457848672,16.0,relu,0.20248018503623438,16.0,leaky_relu,True,0.06927850610675888,32,,,,,,,,,0.00017416384701557578,0.6202230981951589,4,1,SGD,0.0004075793309300507,COMPLETE
3,3,1.1966902315616608,2026-04-04 19:49:42.863826,2026-04-04 19:49:54.451002,0 days 00:00:11.587176,0.8342554387553591,,,relu,0.1477166346326321,128,leaky_relu,0.2352949372935394,64,relu,0.08114176551783339,128.0,relu,0.10858141324399223,32.0,relu,False,0.11451923069319281,64,leaky_relu,True,0.19385289823306598,16.0,,,,,0.00025849683828604647,,4,2,RMSprop,1.690096862619405e-05,COMPLETE
4,4,0.5072315514087677,2026-04-04 19:49:54.461216,2026-04-04 19:50:00.335603,0 days 00:00:05.874387,,0.7337868981685844,0.9071285741927664,relu,0.15856787648859957,16,relu,0.36458899207148454,32,,,,,,,leaky_relu,True,0.0894693281464702,32,relu,True,0.23194226965860298,128.0,,,,,0.0020019397920665797,,2,2,Adam,0.0005255514408335061,COMPLETE
5,5,0.6280075371265411,2026-04-04 19:50:00.349105,2026-04-04 19:50:06.469751,0 days 00:00:06.120646,0.8558953850310425,,,leaky_relu,0.16232390675282882,32,leaky_relu,0.09414541446576129,16,,,,,,,relu,True,0.19977929128999697,16,leaky_relu,True,0.1122455699353895,32.0,relu,False,0.26161445999619204,128.0,0.0032744324638216953,,2,3,RMSprop,0.0004997017086934726,COMPLETE
6,6,0.5261788085103035,2026-04-04 19:50:06.481410,2026-04-04 19:50:12.465996,0 days 00:00:05.984586,0.8323688500374402,,,relu,0.12420439026094893,32,leaky_relu,0.2065480879623149,32,leaky_relu,0.14879331189368608,128.0,relu,0.03105079341097592,64.0,relu,True,0.09292869232590045,64,,,,,,,,,0.0004076892275877722,,4,1,RMSprop,1.821620585408104e-05,COMPLETE
7,7,0.9883124202489852,2026-04-04 19:50:12.476858,2026-04-04 19:50:15.505176,0 days 00:00:03.028318,,0.8042649215830086,0.9587588282289443,relu,0.34664389262286777,16,leaky_relu,0.11056477071286369,128,leaky_relu,0.03412081326216132,16.0,,,,leaky_relu,True,0.24062948283025468,32,leaky_relu,False,0.18684836887766487,64.0,,,,,0.0008030557151339862,,3,2,Adam,4.647548782472083e-05,PRUNED
8,8,0.44745942652225495,2026-04-04 19:50:15.516263,2026-04-04 19:50:21.517215,0 days 00:00:06.000952,0.8418776614446428,,,relu,0.08202518438962905,64,relu,0.18798265254611388,32,,,,,,,relu,False,0.21176698717506276,128,,,,,,,,,0.0011695030773453726,,2,1,RMSprop,5.742645582345335e-05,COMPLETE
9,9,1.0468223571777344,2026-04-04 19:50:21.528865,2026-04-04 19:50:31.038503,0 days 00:00:09.509638,0.9755201871463655,,,relu,0.10587219968755789,256,relu,0.30731157196586567,64,,,,,,,leaky_relu,False,0.2254867854385984,16,,,,,,,,,0.00022626623468122078,,2,1,RMSprop,3.79770313794943e-05,PRUNED
10,10,2.1212770104408265,2026-04-04 19:50:31.047458,2026-04-04 19:50:34.500283,0 days 00:00:03.452825,,,,leaky_relu,0.049827222563322865,64,relu,0.04786945862163883,32,relu,0.3692617859524319,32.0,,,,relu,False,0.0031879626128312466,128,relu,False,0.0014757897834613287,64.0,leaky_relu,True,0.0015020214598985282,16.0,0.00846643272641096,0.053006237651742005,3,3,SGD,0.0002037655699441478,PRUNED
11,11,0.39366586655378344,2026-04-04 19:50:34.510803,2026-04-04 19:50:40.433921,0 days 00:00:05.923118,,0.9372922794335629,0.9029265681690696,relu,0.2607620978400871,16,relu,0.30833497599985027,32,relu,0.3976825158897732,256.0,,,,leaky_relu,False,0.16204372625189978,128,relu,True,0.280212585107601,128.0,,,,,0.0018968050464423496,,3,2,Adam,0.00011712991792195349,COMPLETE
12,12,1.1931073904037475,2026-04-04 19:50:40.447171,2026-04-04 19:50:44.473337,0 days 00:00:04.026166,,0.9830693387197007,0.9974373889894662,relu,0.2654211094075208,64,relu,0.2891631916258257,32,relu,0.3985929185635961,256.0,,,,leaky_relu,False,0.1691551972878575,128,relu,True,0.27980042234037233,128.0,relu,False,0.07737769949124187,32.0,0.0018080141708432529,,3,3,Adam,9.943294439212392e-05,PRUNED
13,13,0.33085817098617554,2026-04-04 19:50:44.482812,2026-04-04 19:50:52.058335,0 days 00:00:07.575523,,0.95795449642963,0.9379550393252283,relu,0.31116247280364273,64,relu,0.16046377829016562,32,relu,0.27324076557705596,256.0,,,,leaky_relu,False,0.15418052607094135,128,,,,,,,,,0.004519863136671993,,3,1,Adam,0.00010160765093790219,COMPLETE
14,14,0.8685600399971009,2026-04-04 19:50:52.073736,2026-04-04 19:50:58.047638,0 days 00:00:05.973902,,0.9584544893368021,0.9366663185780615,leaky_relu,0.36104255659598095,16,relu,0.2875111978980148,256,relu,0.27266555834259587,256.0,,,,leaky_relu,False,0.16252131940817668,128,relu,True,0.08123021150088032,128.0,,,,,0.005714129458582713,,3,2,Adam,0.00016484627906182024,PRUNED
15,15,0.39311760365962983,2026-04-04 19:50:58.057149,2026-04-04 19:51:04.281870,0 days 00:00:06.224721,,0.9046385309420074,0.933684016870652,relu,0.29593282233301105,64,relu,0.15819512010180284,16,relu,0.3042133031122903,64.0,,,,leaky_relu,False,0.13552537114478644,128,relu,True,0.2449626122558492,32.0,,,,,0.003505774417925946,,3,2,Adam,0.00011928439058498786,COMPLETE
16,16,0.3492260783910751,2026-04-04 19:51:04.296038,2026-04-04 19:51:10.576195,0 days 00:00:06.280157,,0.885313538534511,0.9403011895988233,relu,0.3160673325875427,64,relu,0.16863668676723298,16,relu,0.28556791067989906,64.0,,,,leaky_relu,False,0.12770364180706925,128,,,,,,,,,0.004417515857515638,,3,1,Adam,7.844726808418264e-05,COMPLETE
17,17,0.33187101036310196,2026-04-04 19:51:10.587607,2026-04-04 19:51:17.149001,0 days 00:00:06.561394,,0.8651792580476947,0.9597862678488358,relu,0.39580437430948867,64,relu,0.014578646161883535,16,relu,0.19651152040930892,64.0,leaky_relu,0.3737248600685303,256.0,leaky_relu,False,0.0042611549294235,128,,,,,,,,,0.007957528905160488,,4,1,Adam,7.063787530814817e-05,COMPLETE
18,18,1.0707342147827148,2026-04-04 19:51:17.161547,2026-04-04 19:51:22.079729,0 days 00:00:04.918182,,,,leaky_relu,0.3719570435162388,64,relu,0.006075835160231963,128,relu,0.18294315294034702,64.0,leaky_relu,0.3938112329797746,256.0,leaky_relu,False,0.006998042851636382,128,,,,,,,,,0.009363910951323409,0.8899820535251839,4,1,SGD,3.327257360559785e-05,PRUNED
